"iso_code","location","continent","total_cases","total_cases_per_million","total_deaths","total_deaths_per_million","population","aged_70_older"
"CUB","Cuba","North America",50590,4466.471,324,28.605,11326616,9.719
"CYP","Cyprus","Europe",35009,39969.22,231,263.729,875899,8.563
"CZE","Czechia","Europe",1240051,115795.414,20469,1911.386,10708982,11.58
"COD","Democratic Republic of Congo","Africa",25962,289.879,707,7.894,89561404,1.745
"DNK","Denmark","Europe",212380,36666.533,2366,408.48,5792203,12.325
"DJI","Djibouti","Africa",6087,6160.919,63,63.765,988002,2.38
"DOM","Dominican Republic","North America",239998,22123.905,3106,286.323,10847904,4.419
"ECU","Ecuador","South America",286367,16231.141,15832,897.35,17643060,4.458
"EGY","Egypt","Africa",183010,1788.353,10736,104.911,102334403,2.891
"SLV","El Salvador","North America",59866,9229.748,1861,286.917,6486201,5.417
"GNQ","Equatorial Guinea","Africa",6095,4344.309,92,65.574,1402985,1.752
"ERI","Eritrea","Africa",2866,808.137,7,1.974,3546427,2.171
"EST","Estonia","Europe",66628,50226.944,598,450.797,1326539,13.491
"SWZ","Eswatini","Africa",17025,14674.649,652,561.99,1160164,1.845
"ETH","Ethiopia","Africa",159972,1391.502,2373,20.641,114963583,2.063
"FJI","Fiji","Oceania",59,65.816,2,2.231,896444,3.284
"FIN","Finland","Europe",58064,10479.508,750,135.362,5540718,13.264
"FRA","France","Europe",3820369,58528.626,86955,1332.164,65273512,13.079
"GAB","Gabon","Africa",14849,6671.525,87,39.088,2225728,2.976
"GMB","Gambia","Africa",4712,1949.795,150,62.069,2416664,1.417
"GEO","Georgia","Asia",270918,67913.29,3520,882.388,3989175,10.244
"DEU","Germany","Europe",2455569,29308.348,70514,841.617,83783945,15.957
"GHA","Ghana","Africa",84023,2704.057,607,19.535,31072945,1.948
"GRC","Greece","Europe",192270,18446.605,6534,626.879,10423056,14.524
"GRD","Grenada","North America",148,1315.333,1,8.887,112519,5.021
"GTM","Guatemala","North America",174653,9748.673,6402,357.343,17915567,3.016
"GIN","Guinea","Africa",16005,1218.705,89,6.777,13132792,1.733
"GNB","Guinea-Bissau","Africa",3262,1657.522,48,24.39,1967998,1.565
"GUY","Guyana","South America",8595,10927.343,197,250.458,786559,2.837
"HTI","Haiti","North America",12448,1091.687,250,21.925,11402533,2.954
"HND","Honduras","North America",170985,17263.177,4174,421.42,9904608,2.883
"HUN","Hungary","Europe",432925,44814.629,15058,1558.743,9660350,11.976
"ISL","Iceland","Europe",6054,17740.659,29,84.982,341250,9.207
"IND","India","Asia",11124527,8061.226,157248,113.947,1380004385,3.414
"IDN","Indonesia","Asia",1341314,4903.832,36325,132.804,273523621,3.053
"IRN","Iran","Asia",1639679,19521.626,60181,716.501,83992953,3.182
"IRQ","Iraq","Asia",699088,17380.52,13428,333.843,40222503,1.957
"IRL","Ireland","Europe",220273,44609.579,4319,874.682,4937796,8.678
"ISR","Israel","Asia",779958,90110.832,5760,665.47,8655541,7.359
"ITA","Italy","Europe",2938371,48598.779,97945,1619.948,60461828,16.24
"JAM","Jamaica","North America",23599,7969.509,425,143.525,2961161,6.39
"JPN","Japan","Asia",432778,3421.807,7940,62.778,126476458,18.493
"JOR","Jordan","Asia",397158,38925.076,4727,463.289,10203140,2.361
